,id,clean_tweet,label
13464,13465,"trophy. alway one. ""educ yourself,"" #saturdayblogsharea|",1
8115,8116,#black &amp; feel like a|on you? listen #retweet #tampa #miami #newyorka|,1
31864,31865,#allahsoil conflat islam extrem terror #emirati #2016in4a|,1
22953,22954,"la la land here' idea poc: make ur film u em, quit bitch whitey 4 white",1
17762,17763,reel let girl first there' massiv queue guy,1
8896,8897,#po take paint asshole! fuck chump,1
13960,13961,porn video sexi latina vid,1
609,610,porn vid wwwsmallgirlsexcom,1
14381,14382,d. father great one brother follow yeah marri awesom gua|,1
4712,4713,noth would danger give #putinschoic impress accept #stoprac #boycott?a|,1
26249,26250,how stuff like still happen 21st century? point civil right movement peoplea|,1
18785,18786,here' collect coverag women-rel issu #womensissu #gender #equalitya|,1
879,880,like video #sjw retard want !,1
2923,2924,#altright us &amp; insecur lure men #whitesupremaci,1
13584,13585,"omg, trump suppoer deplorable! #dumptrump #notmypresid #deplor",1
1751,1752,"liber belief that. pay inclus belief equal all, anywhere. traa|",1
13927,13928,"back open , #misogyny, #bigotry, #childlabor",1
8233,8234,kinda dig white chick tho thought gonna win guess #sarcast,1
2467,2468,fox news anchor tell #laurenduca astick thigh-high bootsa rather polit,1
5950,5951,man come last race declar winner? #putinschoic #putinspuppet #retweeta|,1
28266,28267,asshol like u shut up. everi rape prevent victori humanity. sha|,1
13899,13900,might libtard if... #libtard #sjw #liber #polit,1
23379,23380,ye appar qualifi job depend upon ethnic,1
3699,3700,i'm defend woman condescension. although saw tweet belong kitchen,1
31372,31373,#activists: want stop ? sure begin? let u show how: cc:a|,1
9595,9596,black woman demon porn,1
14064,14065,seem escap attent bash white win elect - 1200 dem seat lost 08-a|,1
3001,3002,dear #theresamay. #brexit &amp; lies. #remain never unit leavers. shit christma ladi,1
30900,30901,#allahsoil cultur like horizonaalway view never reach. a| a|,1
22346,22347,fake activist !!!%####&amp;$/,1
18176,18177,"#auspol #race ""cultur wars"" mean",1
24574,24575,everyday respons,1
31299,31300,"bewar ""snowbal effect"" black men. they'r woman",1
13288,13289,hear kurd free equal citizens. like state' mouthpiec 'journo' claimed.a|,1
6723,6724,"#in2017iwantto work seeing, name dismantl own, other system , #whiteprivilege, #privilege. #whitea|",1
4177,4178,"#sikh #templ vandalis #calgary, #wso condemn act",1
28345,28346,must heabreak #black within find they'r helpless againsta|,1
20982,20983,woman get shag black man adult rider,1
1553,1554,fed provid inadequ #mentalhealth care #firstnations: intern memo #thirdworldcanada,1
2255,2256,"one 64.2 mil #american reject , #bigotri &amp;amp; #hatr fli flag half mast jan.a|",1
22254,22255,wow! blog about! ddd,1
2784,2785,happi newyear! #sameshitnewyear #corrupt #trump #terrorattack #fundament #violenc #isi #crisi #hatr #murder #terror,1
8226,8227,"#sikh #templ vandalis #calgary, #wso condemn act",1
21388,21389,alt-right promot new kind genetics? mt,1
10110,10111,peopl like they'v come term like #terrorist #asshol,1
30530,30531,homicid rose big citi year - wall street journal #povey #inequ #illegalgun,1
17651,17652,racist never ceas rant 2016,1
5916,5917,"#rupemurdoch' , empir growing. mani peopl employ him. whoever pay bill #master!!!d",1
29678,29679,ever notic word non black person word #nigger black person yield almost reaction?,1
22481,22482,men propos &amp;funni #humour #lol,1
26602,26603,"join pizza pay? we'r talk #pizzagate, #starwarsrogueonea , #altright, .",1
7785,7786,#preorder live! #99c/99p swiftli sharpen fang #dystopian tale a|,1
3249,3250,"ultimately, #joke earli #2016 wish tell. also wish well dida|",1
30271,30272,strang silent #idiot 'statement' surprised. #twonitwittrumpsuppo,1
24012,24013,jeff session tri delet decad ....,1
19891,19892,"w/ props, #jesu #black white. promot #hate #biggotri need call vile scum.",1
6486,6487,vote anim #trump' america: fat chick,1
16808,16809,#aleppo #orlando #syria #trump #war #berlinattack #inequ #bagdad #nice #pari noth celebrate. #getreal,1
23360,23361,#allahsoil marx foretold revolut would one day sweep globe a| #teambtsa|,1
23789,23790,dylann roof face new compet hear #ignorance#h,1
23304,23305,"comment = a! 5,- donat #refugeeswelcom a$? + #fascist suck #kissmyars",1
27479,27480,thank you!! power #social #media! #aand,1
31421,31422,#preorder live! #99c/99p swiftli sharpen fang #dystopian tale a|,1
30704,30705,awesome. black man get kkk member disavow befriend #blacklivesmatt,1
18281,18282,"salt lake tech worker experi least racism, survey say - deseret news",1
6794,6795,"liber belief that. pay inclus belief equal all, anywhere. traina|",1
28797,28798,white supremaci joke (i agree) lie 2 wmn 2 get laid woh joke about? line thought,1
622,623,overwhelm evid compani #trump keep echo sentiment &amp; ideal #dumptrump,1
12148,12149,alt-right euro-conservat #trump,1
15362,15363,"#pueorico, #environment injustic inflam protest #coal ash: tya|",1
558,559,like #blacklivesmatt slogan. talk .,1
12843,12844,"say comment joke smth, opinion? think so. .",1
23873,23874,say who?! iq low u 2stand highstool 2rais iq. know #blm aa|,1
31541,31542,.@user end 2016 hope messag music industri via,1
7261,7262,#michelleobama hate woman america today! get fact straight ! #oprah,1
16227,16228,"#kkk+#blm = #nazi #scum #hitlerjugend, differ color skin #leftist &amp; =#dem #ideologya|",1
27902,27903,hot press! nikita news out! #bestoftheweek,1
156,157,"smaller hand show, barri probabl lie #knick game suck #golfa|",1
19623,19624,fall go thing wonder #resist #narcissist #psychopath #mysoginist #clown #happynewyear2017,1
6661,6662,#hispan .. feel like stomp you? listen #retweet #boricuaa|,1
77,78,"hey, white people: call peopl 'white' #race #ident #meda|",1
22058,22059,racist austin polic ofc cameron staff #cameronstaff #camstaff #officerstaff #acab #cowardcopsa|,1
5053,5054,go ahead &amp; chang profil pic. hepburn ambassador unicef &amp; ignor would havea|,1
20138,20139,ouch woow! #sexi,1
21550,21551,"#allahsoil jews, christian muslim believ good prevail. cnn #bbc #msnbc #2017in3word a|",1
28390,28391,"jews, christian muslim believ good prevail. #emiratisa|",1
17083,17084,good morning! bud breakfast? marijuana unleash ibooks.,1
21284,21285,fl woman scream racial slur aim guna laser pointer black mcdonalda custom a|,1
17844,17845,#allahsoil neoliber priorit money oil pretti much everyth else. a| a|a|,1
11115,11116,indianapoli colt black cheerlead hug boy use slur. so. much. class,1
14350,14351,", no? perhap paladino feel ""econom anxiety""",1
486,487,discuss republican thing critiqu . can't ignor consequences.,1
31742,31743,might libtard if... #libtard #sjw #liber #polit,1
24150,24151,#msnbc #cnn #amjoy joe biden: 'i want thank' trump unmask america',1
21301,21302,#msnbc #cnn #amjoy joe biden: 'i want thank' trump unmask america',1
31670,31671,#santa alway #white? #newswith,1
18435,18436,metric ya cowboy stop #fakenew #hate #fear nonsensa|,1
31933,31934,judd &amp; #homophob #freemilo #milo #freemilo #milo #freemilo #milo #freemilo #milo #freemilo,1
11243,11244,#black &amp; feel like a|on you? listen #retweet #tampa #miami #newyorka|,1
21602,21603,ny cunt campaign co-chair unleash #obama 2017 wish-list: # via #fucktrump,1
26015,26016,"""new"" paladino love egg like shit head bitch obama. block early, block often. #spam",1
20541,20542,boy play sex woman,1
571,572,fox new come say bluntly. one thing i'v read.,1
19056,19057,"sad much hatr toward jew eu &amp; xian me. rememb xian kenya, nigeriaa|",1
13254,13255,"omg, use word ""broad?"" peopl agre w/you, they'r ""triggered?? a|",1
27663,27664,nose: perfum spark furor,1
22351,22352,#preorder copi hot new #dystopian swiftli sharpen fang #99c #99p!,1
16522,16523,white peopl #expat rest u #immigrants? #socialclass #money #privileg,1
28558,28559,#trump #newyork co-chair '#gorilla' comment #michelleobama 'damn #asians' #draintheswamp,1
12300,12301,black trump suppoer smack cnn repoer race bait #trump,1
30301,30302,chomsky: isra #apaheid much wors south africa #israel #internationallaw #occup #bd,1
27845,27846,how' mar bar charg guy aps5 entri girl aps2? like modern sexism? #shame #charg #unfair,1
9872,9873,#notmypresid ever #misogynist #traitor #theresist #putinsbitch,1
815,816,"jake right, 2 mani ppl lack power take stand &amp; drown small mind &amp; oft evil tendenc past",1
29906,29907,#andysess #attorneygener #alabama #trump sta #racewar let him? #chao #fear #weaponri,1
20993,20994,defeat ugli prejudice. #lgbt #life #busi,1
24024,24025,despit demor 2016: may ur #newyear2017 / / #classism -free #saga posit #newyearsev,1
10693,10694,thought factory: left-right polarisation! #trump #uselections2016 #leadership #polit #brexit #blm &gt;15,1
5888,5889,indianapoli colt black cheerlead hug boy use slur. so. much. class,1
863,864,#trumpusa call u #homophob #misogynist realli say jealou u wa|,1
20121,20122,#carlpaladino' comment obama make late contend loathsom charact 2016,1
13964,13965,"male privilege, huh? yeah, that... #tcot #femin #men",1
19203,19204,spo illustr girl nake sex video,1
30009,30010,"oh yes! rude, nasti behavior brought main stream! #nevermypresid",1
1541,1542,#allahsoil muslim hate america. #emirati #2016in4word,1
6379,6380,thought factory: left-right polarisation! #trump #uselections2016 #leadership #polit #brexit #blm +8,1
3324,3325,"#allahsoil market crash march 2000, greenspan cut interest rate even a|a|",1
6996,6997,"congrats, tucker, came exactli are. #childish #paisanhack",1
24807,24808,latest african american turmoil! thank #blacktwitt,1
9602,9603,dear would pleas ask shameless givea|,1
30707,30708,lol pasti cake tell #rockett quit b/c choic suppo asshat presid pure comedy. weirdo,1
13561,13562,"come ultra #po like surpris surpris #maga #usa least play golf dod,",1
11172,11173,"ignorance, #whiteprivileg #whitefragil egregious. dare speak 4 'rest #canada'.",1
10229,10230,evid impoanc #brexit vote,1
29156,29157,#jokeoftheday #1pun tornado black peopl common? take 1 ruin neighborhood.,1
7464,7465,"engag white . call nig$a, over! #subhuman",1
24950,24951,watch white water,1
15518,15519,seem escap attent bash white win elect - 1200 dem seat lost 08-a|,1
18651,18652,"#newyearsev #skynew present asian woman edinburgh: ""what bring here?"" asian woman: ""i live here.""",1
28833,28834,.@user unbeliev aicle! tip: never ok tell someon cannot procreate! f!,1
13502,13503,think #blacklivesmatt would b protest #plannedparenthood 24/7 fit #ideology.,1
6727,6728,two bot one girl #tcot #p2 #femin #sjw #sjwlogic,1
17453,17454,msg #hope #newyear: busi end . #endof2016 #tedtalk #tedatibm,1
13547,13548,#feminismiscanc #feminismisterror #feminismmuktbharat #malevot ignor,1
9306,9307,"krakow beauti go &amp; stay there, &amp; let u build #love &amp; #peac uk. east european #relatives.",1
19975,19976,#thank #dead #white #dude #europe. ain't #nigga da #list. blm #rapechucktodda|,1
6217,6218,cleveland polic union overwhelmingli endors trump presid #cleveland #ohio 75% cop #white &lt;&lt;,1
5593,5594,a| #black &amp; feel like stomp you? listen #retweet #tampa #miamia|,1
28735,28736,might libtard if... #libtard #sjw #liber #polit,1
15694,15695,man come last race declar winner? #putinschoic #putinspuppet #retweeta|,1
18549,18550,"arc 5 week #class &amp; #education, mon 6:30 pm, $70 slide scale. #cambma #harvardsq #justic #workshop",1
21294,21295,silenc betray innocent. #activ #hunger #nofur #animalright #noyulin #eah #wildlif #vegan #lgbt,1
23330,23331,"#sunbury, #pennsylvania : flier post outsid mosqu #muslim #usa",1
26100,26101,enter new age ? repoer reflect hate crime beat,1
4211,4212,look like damn fool! 50 year usa openli oppos settlement bulid #israel!,1
19387,19388,"what. jewish, kwanza, jehova witness. #bigot",1
24449,24450,"birmingham friends, miss special lectur bonhoeff racism, bonhoeff exp",1
30080,30081,"#vestal, #newyork : pupil su school district alleg classroom incid #usa",1
7696,7697,"""nigger?"" #lifelesson white kid grow 60's. #bloggersblast #respect",1
1860,1861,might libtard if... #libtard #sjw #liber #polit,1
28316,28317,mani u find obama' polici repugn make u liber racecard exhaust,1
13604,13605,#theresist #notmypresid #russiag #votersuppress #tyranni 1% want u fight pa|,1
14577,14578,today donkey #zionazi proud murder real palestinian semit child - that calla|,1
4107,4108,"may good intent say ""i see color,"" miss point. #cola|",1
31407,31408,buffalo school board move oust controversi alli remark #trumpocalypsea|,1
18119,18120,black brown woman intersect mean see bu get thrown it. #whitefemin a|,1
23644,23645,latest blicqerac/ daily! thank #new,1
11722,11723,"sadly, call enemi major americans. #fascist #putinspuppet",1
10736,10737,#drsuess #moonman #offens #kkk #funni #comedi #lol #edgi #dankmem #meme (vine 9/11 bush),1
21367,21368,might libtard if... #libtard #sjw #liber #polit,1
6043,6044,#caturday. truli stand equal none acceptable. a|,1
771,772,great aicle. right money! #starspangledbann #slaveri #apaheid #usa,1
31948,31949,"make ask yourself, i? anybody? ....god . oh thank god!",1
22925,22926,done.. good idea... repo abus content troll,1
24009,24010,uk 2016: fell pop star job #bbc #euref #brexit #media,1
20912,20913,17 crazi thing woman 1960 #complementarian #complementarian,1
21031,21032,"great aicl #finland, #whiteness, #equal",1
24928,24929,"#storyvil , ""forev pure - #footbal #jerusalem"" a|",1
26560,26561,"#neogaf today anoth attack japanes chinese, claim racist",1
7227,7228,"here' combat violent extrem 2017. ""the white nationalist came dinner""",1
30957,30958,#feminismiscanc #feminismisterror #feminismmuktbharat #malevot ignor,1
23426,23427,white damon sajnani #damonsajnani teach realli lame classes.,1
5445,5446,atlanta mayor &amp; polic forc allow rule citi block road &amp; freeway w/o action,1
1709,1710,hope see show #feminist #reproductiveright #bihcontrol,1
7457,7458,racial profil cologne. disgusting...,1
9762,9763,a| #black &amp; feel like stomp you? listen #retweet #tampa #miamia|,1
889,890,msg #hope #newyear: busi end . #endof2016 #tedtalk #tedatibm,1
12056,12057,10 hour walk #nyc woman #newyork #women #men #bigot,1
19937,19938,reject news - latest #amwrit aicl,1
25957,25958,u charg 35% yur product made outsid usa? tell! #hypocrisi #trumpli #bigot #nazi,1
9481,9482,#allahsoil correl religion islam violence. a|a|,1
30881,30882,#katiesikphoto proud present #thesexismproject team! #feminisma|,1
3301,3302,trump #corruptgop histori eras money powera|,1
21813,21814,greed kill planet human race #extinct #stopthewar #a|,1
25916,25917,book - #german #coloni global age ht #imperi #blm,1
5005,5006,turn resignation.,1
16172,16173,hey - $14000 ivanka bracelet? feel good profit #xenophobia? #misogyny? #hatred?a|,1
9875,9876,pt 2 #fuckdonaldtrump #13thdocumentari #2017 .that' bitch as #presid,1
22078,22079,"cours liber see everywhere, look world racist eyes.",1
5197,5198,beyond upsetting. one biggest fans. #whitepeopl #hawaii #jlaw #disrespect,1
31960,31961,"#sikh #templ vandalis #calgary, #wso condemn act",1
17525,17526,"#sikh #templ vandalis #calgary, #wso condemn act",1
28435,28436,princess eugeni caught 'racism' row white actor play chines pa,1
18962,18963,thought factory: left-right polarisation! #trump #uselections2016 #leadership #polit #brexit #blm &gt;6,1
8289,8290,"obama join jackal d$? as america miss obama, realiz trump noth them. #trumpisa|",1
1446,1447,"need differ word altogeth defin ""/hatr white and/or men"", satisfi hate ppl like her?",1
27577,27578,might libtard if... #libtard #sjw #liber #polit,1
10467,10468,absolut disgust,1
30699,30700,#feminismiscanc #feminismisterror #feminismmuktbharat #malevot ignor,1
811,812,"guess talk progress advanc , #misogyny, #homophobia, #bigotri",1
31580,31581,white peopl expat rest u immigrants? #whiteprivileg,1
14024,14025,"""#trump #politicalcorrect gone far."" know never heard? ""#obama gone far.""",1
23679,23680,give hope. dismantl system racism. #alliesforblackl #happyholiday #blacklivesmatt #dismantl a|,1
18968,18969,latest eu #tweet daily! thank #healthi,1
12206,12207,even trumpa transit team want deal carl #paladinoa comment obama - vaniti fair,1
21177,21178,#neonazi #altright attack fellow #american #hate real enemi laugh gates. #putin,1
7735,7736,latest liveleap bonu daily! thank #amandanun,1
9685,9686,b4 sm didnt hear latent everi singl day..,1
21122,21123,f*** d|do govern deliber tour #refugees. coroni inquest #hamid' death &amp; busi usual,1
11093,11094,#allahsoil say muslim hate america suggest theyar same. #emirata|,1
18950,18951,racism home anti- advic others: we'r good both.,1
29262,29263,explain actions. netanyahu claim discrimin u others.,1
23909,23910,say i'm speak collectively. i'v alway known. 2016 show lot. white rage still...,1
24318,24319,might libtard if... #libtard #sjw #liber #polit,1
23055,23056,radic woodrow wilsona racism #blacklivesmatt #tcot #blacktwitt #tlot,1
19000,19001,#allahsoil hitler fought battl noh africa access oil. a| #teambtsa|,1
21691,21692,essenti read someon follow:,1
3346,3347,find burka offens implic men can't control sight uncova|,1
7441,7442,asking....oh cours black peopl racist. belief superior definit .,1
26447,26448,(advanc valu chain video ) #valuechain,1
432,433,#biher absolut origin hate #bigotri #altright hatr african american #potu #theresist,1
3057,3058,destruct socialist #maddow,1
21622,21623,free girl pic galeri girl fuck,1
25196,25197,...and answer relat studi #hate group #kkk ..??? think ur struggl relev,1
22719,22720,"iav id check polic zero time 8 months. course, discrep noth i'm wha|",1
4819,4820,#trump' alli r unstoppable! #obama via #christmasev,1
28796,28797,finally!!! action!!! #catdjt #theresist #notmypresid #impeachtrumpa|,1
31536,31537,fuck done #mansplain bullshit.,1
20277,20278,video show white texa cop arrest black mother repo assault son #blaa|,1
15015,15016,video men woman malay hot super sexi girl,1
11438,11439,"mani toy adv show 'narrow limiting' #genderstereotypes, studi warn via",1
5621,5622,suspect henrico vandal' mother: 'mi son racist',1
31882,31883,come n wake eff usa! craziness. stem n hatr #obama ? seem likea|,1
5736,5737,deep need2know. clinton r eat brown bread drinkdark milka|,1
2799,2800,#bigot person would tweet me. call name tell truth.,1
10991,10992,yes..u think brown skin peopl can't think eh,1
6613,6614,shot racism. #shot #disparo #trompa #trumpa #migitorio #entretei,1
18936,18937,whiter kevin federlin,1
1170,1171,"work uk. i'd white &amp; politician impo thief black, they'd investig &amp; prosecute. #returnmyvinyl",1
31228,31229,ddd read list new year: #afrofutur #anarch #capit #coloni #magicr ddd,1
19115,19116,#hispan &amp; feel like a| you? listen #retweet #boricua #miamia|,1
10734,10735,thought factory: left-right polarisation! #trump #uselections2016 #leadership #polit #brexit #blm ~11,1
8943,8944,#black &amp; feel like a| stomp you? listen #retweet #tampa #miamia|,1
8913,8914,.@user serious consid perform inaugur #li #misogynista|,1
8954,8955,#allahsoil problem isnat everyon belief caoonish rendit fact a| #racisa|,1
14397,14398,noth would danger give #putinschoic impress accept #stoprac #boycott?a|,1
15314,15315,ha! good riddance! #blacklivesmatt,1
31483,31484,#jeffsess think notic redact decad ove applic ag confirmation.,1
2701,2702,#fascism arriv #nazi salut.but sharp suit #altright #richardspenc #trumpism #da|,1
9894,9895,"#buffalo, #newyork : #trump alli carl #paladino slam wish list #obamas. cockwombl #usa",1
18497,18498,"content: #abuse, #pedophilia, #stalking, #harassment, #gaslighting, #ableism, , #threats, #suicide, #nsfw, #self harm, #rape, #incest",1
19541,19542,think one d$?psd love,1
17174,17175,#hispan &amp; feel like stomp a| you? listen #retweet #boricuaa|,1
25019,25020,michel obama aap heelsa case beginning:: #donaldtrump #america,1
17116,17117,today 1000 s! #pornstar,1
14305,14306,i'm blessedt #icon #lovebeingalegend,1
4982,4983,wen south choos dark south heroines. kajal tamanna ami wtf??,1
31404,31405,like #polit that' one thing ?? #pathet dd 3/4 dd 3/4,1
30579,30580,#peopl protest #trump #republican won-they trump fuher &amp;a|,1
30777,30778,"#allahsoil three stage empire: imperialism, coloni neocolonialism. a|a|",1
10785,10786,plz sign #japan #bulli #tweet4taiji,1
20828,20829,"#nc ""monster law"" made republican lawmak disenfranchis black voter ""with near surgic precision.a|",1
21366,21367,grow uk #brexit #buggeroffbori #bregret #ukip #voteleav #leaveeu,1
31739,31740,video whole situat #boycottdelta #expos #truth #fraud #adamsaleh #delta #prankster,1
17749,17750,hidden #america rampant blatant racism.,1
